total_soal,jawaban_benar,skor_akhir,tingkat_kesulitan,persentase_benar,kelulusan
15,8,160,1,53.33,0
15,10,200,1,66.67,0
15,15,300,1,100.0,1
15,11,220,2,73.33,1
15,14,280,1,93.33,1
15,15,300,1,100.0,1
15,3,60,3,20.0,0
15,2,40,3,13.33,0
15,11,220,3,73.33,0
15,15,300,1,100.0,1
15,7,140,3,46.67,0
15,13,260,2,86.67,1
15,14,280,1,93.33,1
15,8,160,1,53.33,0
15,6,120,2,40.0,0
15,9,180,1,60.0,1
15,15,300,1,100.0,1
15,0,0,3,0.0,0
15,5,100,3,33.33,0
15,9,180,2,60.0,1
15,4,80,3,26.67,0
15,12,240,1,80.0,0
15,7,140,3,46.67,0
15,13,260,1,86.67,1
15,4,80,3,26.67,0
15,10,200,1,66.67,0
15,8,160,2,53.33,0
15,5,100,2,33.33,0
15,5,100,3,33.33,0
15,2,40,3,13.33,0
15,8,160,2,53.33,0
15,7,140,2,46.67,0
15,8,160,2,53.33,0
15,5,100,2,33.33,0
15,6,120,2,40.0,0
15,7,140,2,46.67,0
15,8,160,2,53.33,0
15,4,80,3,26.67,0
15,13,260,1,86.67,1
15,6,120,3,40.0,0
15,10,200,1,66.67,1
15,5,100,3,33.33,0
15,7,140,3,46.67,0
15,13,260,1,86.67,1
15,9,180,2,60.0,0
15,10,200,1,66.67,0
15,11,220,2,73.33,1
15,7,140,1,46.67,0
15,11,220,1,73.33,0
15,10,200,2,66.67,1
15,10,200,1,66.67,1
15,6,120,2,40.0,0
15,15,300,1,100.0,1
15,11,220,1,73.33,0
15,13,260,2,86.67,1
15,14,280,1,93.33,1
15,13,260,1,86.67,1
15,7,140,3,46.67,0
15,15,300,1,100.0,1
15,12,240,2,80.0,1
15,12,240,1,80.0,0
15,8,160,3,53.33,1
15,8,160,3,53.33,1
15,9,180,3,60.0,1
15,11,220,1,73.33,0
15,14,280,1,93.33,1
15,5,100,3,33.33,0
15,4,80,3,26.67,0
15,7,140,3,46.67,0
15,4,80,3,26.67,0
15,13,260,1,86.67,0
15,5,100,3,33.33,0
15,9,180,2,60.0,1
15,11,220,3,73.33,1
15,5,100,3,33.33,0
15,13,260,1,86.67,1
15,9,180,2,60.0,0
15,6,120,2,40.0,0
15,12,240,1,80.0,1
15,7,140,3,46.67,0
15,6,120,3,40.0,1
15,9,180,2,60.0,0
15,7,140,3,46.67,0
15,14,280,1,93.33,1
15,8,160,1,53.33,0
15,9,180,1,60.0,0
15,8,160,2,53.33,0
15,9,180,2,60.0,1
15,8,160,1,53.33,0
15,8,160,2,53.33,0
15,9,180,2,60.0,1
15,7,140,1,46.67,0
15,15,300,1,100.0,1
15,6,120,3,40.0,0
15,5,100,3,33.33,0
15,10,200,1,66.67,1
15,6,120,1,40.0,0
15,12,240,2,80.0,1
15,11,220,2,73.33,1
15,7,140,1,46.67,0
15,15,300,1,100.0,1
15,13,260,2,86.67,1
15,11,220,1,73.33,0
15,14,280,1,93.33,1
15,12,240,1,80.0,1
15,10,200,2,66.67,1
15,8,160,3,53.33,1
15,8,160,3,53.33,0
15,5,100,2,33.33,0
15,14,280,1,93.33,1
15,1,20,3,6.67,0
15,7,140,3,46.67,0
15,10,200,2,66.67,0
15,9,180,1,60.0,0
15,11,220,1,73.33,0
15,9,180,3,60.0,1
15,9,180,2,60.0,0
15,7,140,2,46.67,0
15,12,240,3,80.0,1
15,9,180,1,60.0,0
15,13,260,1,86.67,0
15,13,260,2,86.67,1
15,14,280,1,93.33,0
15,15,300,1,100.0,0
15,6,120,3,40.0,0
15,3,60,3,20.0,0
15,10,200,2,66.67,1
15,9,180,2,60.0,0
15,8,160,3,53.33,0
15,13,260,1,86.67,1
15,7,140,3,46.67,0
15,9,180,3,60.0,0
15,10,200,2,66.67,0
15,9,180,2,60.0,0
15,11,220,2,73.33,1
15,8,160,3,53.33,0
15,10,200,1,66.67,0
15,14,280,2,93.33,1
15,13,260,1,86.67,1
15,9,180,1,60.0,0
15,7,140,1,46.67,0
15,15,300,2,100.0,1
15,10,200,1,66.67,0
15,2,40,3,13.33,0
15,14,280,2,93.33,1
15,5,100,2,33.33,0
15,13,260,2,86.67,1
15,7,140,3,46.67,1
15,11,220,1,73.33,0
15,10,200,2,66.67,0
15,5,100,2,33.33,0
15,8,160,3,53.33,0
15,12,240,1,80.0,0
15,12,240,1,80.0,1
15,9,180,2,60.0,1
15,6,120,3,40.0,0
15,6,120,3,40.0,0
15,7,140,1,46.67,0
15,9,180,2,60.0,0
15,10,200,1,66.67,0
15,6,120,2,40.0,0
15,7,140,3,46.67,0
15,2,40,3,13.33,0
15,13,260,2,86.67,1
15,9,180,2,60.0,1
15,9,180,3,60.0,0
15,10,200,2,66.67,1
15,13,260,1,86.67,1
15,10,200,2,66.67,1
15,13,260,1,86.67,1
15,7,140,3,46.67,0
15,13,260,2,86.67,1
15,10,200,1,66.67,0
15,12,240,2,80.0,1
15,4,80,3,26.67,0
15,13,260,1,86.67,0
15,15,300,2,100.0,1
15,6,120,2,40.0,0
15,7,140,2,46.67,1
15,13,260,1,86.67,1
15,5,100,3,33.33,0
15,15,300,1,100.0,1
15,10,200,2,66.67,0
15,9,180,2,60.0,1
15,5,100,2,33.33,0
15,9,180,2,60.0,0
15,12,240,2,80.0,1
15,9,180,1,60.0,0
15,11,220,1,73.33,0
15,7,140,3,46.67,0
15,10,200,1,66.67,0
15,14,280,1,93.33,0
15,8,160,3,53.33,0
15,8,160,2,53.33,0
15,9,180,1,60.0,0
15,8,160,2,53.33,0
15,13,260,1,86.67,1
15,12,240,2,80.0,1
15,8,160,1,53.33,0
15,3,60,3,20.0,0
15,14,280,3,93.33,1
15,13,260,1,86.67,0
15,12,240,1,80.0,0
15,13,260,2,86.67,1
15,5,100,2,33.33,0
15,14,280,1,93.33,0
15,6,120,1,40.0,0
15,10,200,2,66.67,0
15,15,300,1,100.0,0
15,9,180,2,60.0,0
15,13,260,1,86.67,1
15,12,240,2,80.0,1
15,14,280,1,93.33,1
15,9,180,3,60.0,1
15,9,180,1,60.0,0
15,14,280,1,93.33,1
15,10,200,3,66.67,0
15,11,220,2,73.33,1
15,13,260,1,86.67,1
15,10,200,2,66.67,0
15,12,240,2,80.0,1
15,11,220,1,73.33,1
15,8,160,2,53.33,0
15,11,220,1,73.33,0
15,13,260,1,86.67,1
15,13,260,1,86.67,1
15,12,240,1,80.0,0
15,9,180,1,60.0,0
15,7,140,3,46.67,1
15,9,180,2,60.0,0
15,4,80,3,26.67,0
15,8,160,1,53.33,0
15,5,100,2,33.33,0
15,3,60,3,20.0,0
15,8,160,2,53.33,0
15,9,180,3,60.0,1
15,14,280,1,93.33,1
15,10,200,1,66.67,0
15,7,140,2,46.67,0
15,11,220,2,73.33,1
15,7,140,3,46.67,0
15,11,220,1,73.33,0
15,2,40,3,13.33,0
15,15,300,1,100.0,0
15,8,160,3,53.33,0
15,12,240,1,80.0,1
15,12,240,1,80.0,0
15,7,140,3,46.67,0
15,6,120,3,40.0,1
15,13,260,1,86.67,1
15,9,180,1,60.0,0
15,10,200,2,66.67,0
15,10,200,1,66.67,1
15,9,180,2,60.0,0
15,10,200,1,66.67,0
15,11,220,1,73.33,1
15,12,240,2,80.0,1
15,12,240,2,80.0,1
15,10,200,2,66.67,1
15,14,280,1,93.33,1
15,7,140,2,46.67,0
15,7,140,3,46.67,1
15,9,180,2,60.0,0
15,10,200,3,66.67,1
15,14,280,2,93.33,1
15,11,220,3,73.33,1
15,9,180,2,60.0,0
15,9,180,3,60.0,1
15,13,260,1,86.67,1
15,13,260,1,86.67,1
15,7,140,1,46.67,0
15,9,180,3,60.0,0
15,9,180,2,60.0,0
15,6,120,3,40.0,0
15,3,60,2,20.0,0
15,6,120,2,40.0,0
15,11,220,2,73.33,1
15,12,240,1,80.0,0
15,9,180,3,60.0,0
15,12,240,2,80.0,0
15,8,160,3,53.33,0
15,9,180,3,60.0,1
15,10,200,1,66.67,0
15,6,120,1,40.0,0
15,11,220,2,73.33,1
15,8,160,2,53.33,1
15,7,140,2,46.67,0
15,9,180,2,60.0,0
15,10,200,2,66.67,1
15,8,160,1,53.33,0
15,6,120,3,40.0,0
15,8,160,3,53.33,0
15,11,220,2,73.33,1
15,9,180,3,60.0,0
15,10,200,2,66.67,1
15,3,60,3,20.0,0
15,9,180,3,60.0,1
15,12,240,1,80.0,1
15,11,220,1,73.33,0
15,10,200,1,66.67,0
15,9,180,3,60.0,1
15,11,220,1,73.33,1
15,9,180,1,60.0,0
15,8,160,3,53.33,1
15,6,120,2,40.0,0
15,8,160,3,53.33,0
15,11,220,2,73.33,0
15,12,240,1,80.0,0
15,11,220,2,73.33,0
15,9,180,1,60.0,0
15,15,300,1,100.0,1
15,9,180,1,60.0,0
15,9,180,2,60.0,0
15,10,200,2,66.67,1
15,14,280,1,93.33,1
15,8,160,3,53.33,0
15,13,260,1,86.67,0
15,12,240,1,80.0,1
15,13,260,1,86.67,1
15,9,180,3,60.0,1
15,9,180,1,60.0,0
15,11,220,1,73.33,1
15,8,160,2,53.33,0
15,12,240,1,80.0,0
15,11,220,2,73.33,0
15,13,260,1,86.67,1
15,14,280,1,93.33,1
15,4,80,3,26.67,0
15,10,200,3,66.67,1
15,14,280,1,93.33,1
15,12,240,2,80.0,1
15,7,140,3,46.67,0
15,14,280,2,93.33,1
15,12,240,2,80.0,1
15,8,160,1,53.33,0
15,13,260,2,86.67,1
15,10,200,1,66.67,0
15,14,280,1,93.33,1
15,12,240,1,80.0,1
15,9,180,2,60.0,0
15,11,220,1,73.33,1
15,12,240,1,80.0,1
15,10,200,1,66.67,0
15,10,200,2,66.67,1
15,7,140,3,46.67,0
15,10,200,3,66.67,1
15,6,120,2,40.0,0
15,4,80,3,26.67,0
15,9,180,3,60.0,0
15,5,100,2,33.33,0
15,10,200,2,66.67,0
15,12,240,1,80.0,1
15,7,140,2,46.67,0
15,12,240,1,80.0,1
15,4,80,3,26.67,0
15,14,280,1,93.33,0
15,15,300,1,100.0,1
15,7,140,3,46.67,0
15,5,100,2,33.33,0
15,8,160,3,53.33,1
15,8,160,1,53.33,0
15,4,80,3,26.67,0
15,3,60,3,20.0,0
15,8,160,2,53.33,0
15,12,240,1,80.0,0
15,10,200,3,66.67,1
15,11,220,1,73.33,0
15,11,220,1,73.33,1
15,11,220,3,73.33,1
15,13,260,1,86.67,1
15,11,220,1,73.33,1
15,12,240,2,80.0,1
15,9,180,2,60.0,1
15,10,200,2,66.67,0
15,11,220,2,73.33,1
15,11,220,1,73.33,1
15,8,160,2,53.33,1
15,8,160,2,53.33,0
15,14,280,1,93.33,1
15,14,280,1,93.33,1
15,13,260,2,86.67,1
15,13,260,1,86.67,0
15,13,260,1,86.67,1
15,4,80,2,26.67,0
15,10,200,1,66.67,0
15,6,120,3,40.0,0
15,9,180,3,60.0,0
15,6,120,1,40.0,0
15,10,200,1,66.67,0
15,10,200,2,66.67,0
15,10,200,2,66.67,0
15,6,120,3,40.0,0
15,5,100,2,33.33,0
15,7,140,3,46.67,1
15,12,240,1,80.0,1
15,10,200,2,66.67,0
15,9,180,3,60.0,1
15,8,160,2,53.33,0
15,7,140,3,46.67,0
15,15,300,1,100.0,1
15,15,300,2,100.0,1
15,9,180,1,60.0,0
15,2,40,3,13.33,0
15,9,180,1,60.0,1
15,12,240,2,80.0,0
15,11,220,3,73.33,1
15,11,220,1,73.33,0
15,12,240,1,80.0,1
15,8,160,3,53.33,0
15,15,300,1,100.0,1
15,11,220,2,73.33,1
15,6,120,2,40.0,0
15,4,80,1,26.67,1
15,10,200,3,66.67,1
15,13,260,1,86.67,1
15,8,160,1,53.33,0
15,11,220,3,73.33,1
